project,num_forks,num_files,project_age,num_stars,ratio_old_volunteers,fork_entropy,num_integrated_commits,num_forks_rq2,num_files_rq2,ratio_old_volunteers_rq2,ratio_prs_with_tests,ratio_prs_with_hot_files,fork_entropy_rq2,num_closed_prs,ratio_merged_prs,num_bug_report_issues
angular/angular.js,42,70,2154,41468,0,0.438025061,17,34,64,0,0.333333333,0.857142857,0.404572185,38,0,33
angular/angular.js,30,327,2185,41489,0,0.382408096,9,18,34,0,0.19047619,0.761904762,0.616356003,21,0,29
angular/angular.js,56,612,2216,41509,0,0.294434649,25,41,364,0,0.340425532,0.893617021,0.292681172,45,0,45
angular/angular.js,50,417,2245,41525,0,0.348807884,11,28,567,0,0.35483871,0.935483871,0.358114482,30,0,38
angular/angular.js,53,253,2276,41547,0,0.266670642,13,31,28,0,0.088235294,0.941176471,0.400262064,33,0.03030303,28
angular/angular.js,46,353,2306,41560,0,0.313620074,16,23,27,0,0.24,1,0.464088621,25,0,31
angular/angular.js,18,253,2337,41712,0,0.433100639,16,14,99,0,0.428571429,1,0.540121672,12,0.083333333,19
angular/angular.js,12,34,2367,42616,0,0.807438214,3,4,12,0,0.5,1,0.729613376,4,0,20
angular/angular.js,34,350,2398,43422,0,0.214693498,14,17,226,0,0.222222222,0.555555556,0.246963389,17,0.117647059,12
angular/angular.js,38,442,2429,44310,0,0.261095594,15,23,58,0,0.321428571,0.857142857,0.350374881,28,0.214285714,11
angular/angular.js,40,121,2459,45303,0,0.31409723,16,17,53,0,0.19047619,0.904761905,0.421082038,21,0.142857143,20
angular/angular.js,23,289,2490,46056,0,0.32593488,8,14,13,0,0.066666667,0.866666667,0.637082798,15,0.133333333,13
angular/angular.js,33,162,2520,46845,0,0.283956772,11,15,25,0,0.315789474,0.684210526,0.606286229,17,0,22
angular/angular.js,26,288,2551,47482,0,0.281171416,18,14,27,0,0.5,0.666666667,0.604889608,18,0.111111111,20
angular/angular.js,28,228,2582,48094,0,0.329240923,17,14,97,0,0.291666667,0.958333333,0.585909747,24,0,15
angular/angular.js,37,133,2610,48721,0,0.458570075,21,20,108,0,0.173913043,0.869565217,0.410082659,22,0.136363636,18
angular/angular.js,28,267,2641,49328,0,0.330026193,9,15,15,0,0.2,0.933333333,0.576630545,14,0.285714286,9
